Company,Name,Year,Return-Ln,
1101,台泥         ,201612,29.0993,
1101,台泥         ,201812,10.4831,
1101,台泥         ,201912,35.2413,
1101,台泥         ,202012,9.3744,
1101,台泥         ,202112,17.3725,
1101,台泥         ,202212,-23.6351,
1101,台泥         ,202312,4.8617,
1101,台泥         ,202412,-6.5364,
1102,亞泥         ,201612,-0.1007,
1102,亞泥         ,201712,10.0768,
1102,亞泥         ,201812,21.377,
1102,亞泥         ,201912,40.8502,
1102,亞泥         ,202012,-3.5163,
1102,亞泥         ,202112,9.7193,
1102,亞泥         ,202212,0.3192,
1102,亞泥         ,202312,6.6147,
1102,亞泥         ,202412,2.3416,
1103,嘉泥         ,201612,-7.5457,
1103,嘉泥         ,201712,44.2846,
1103,嘉泥         ,201812,5.1781,
1103,嘉泥         ,201912,55.9278,
1103,嘉泥         ,202012,-10.2502,
1103,嘉泥         ,202112,15.1994,
1103,嘉泥         ,202212,-13.9192,
1103,嘉泥         ,202312,12.4277,
1103,嘉泥         ,202412,-8.6757,
1104,環泥         ,201612,14.7718,
1104,環泥         ,201712,0.6992,
1104,環泥         ,201812,-13.8306,
1104,環泥         ,201912,8.7399,
1104,環泥         ,202012,22.3886,
1104,環泥         ,202112,-2.087,
1104,環泥         ,202212,7.307,
1104,環泥         ,202312,37.1135,
1104,環泥         ,202412,3.4395,
1108,幸福         ,201612,-1.6545,
1108,幸福         ,201712,-2.0355,
1108,幸福         ,201812,-13.1321,
1108,幸福         ,201912,13.2509,
1108,幸福         ,202012,42.9865,
1108,幸福         ,202112,-0.8591,
1108,幸福         ,202212,-4.922,
1108,幸福         ,202312,43.7071,
1108,幸福         ,202412,-2.56,
1109,信大         ,201612,1.4718,
1109,信大         ,201712,26.8905,
1109,信大         ,201812,4.3385,
1109,信大         ,201912,41.8163,
1109,信大         ,202012,5.7709,
1109,信大         ,202112,9.9843,
1109,信大         ,202212,-20.4891,
1109,信大         ,202312,19.8771,
1109,信大         ,202412,3.208,
1110,東泥         ,201612,2.5649,
1110,東泥         ,201712,-7.481,
1110,東泥         ,201812,14.6114,
1110,東泥         ,201912,3.5007,
1110,東泥         ,202012,3.1637,
1110,東泥         ,202112,12.802,
1110,東泥         ,202212,-6.8734,
1110,東泥         ,202312,1.0292,
1110,東泥         ,202412,9.5416,
1201,味全         ,201612,-0.0004,
1201,味全         ,201712,18.9435,
1201,味全         ,201812,5.0703,
1201,味全         ,201912,14.4809,
1201,味全         ,202012,-5.4561,
1201,味全         ,202112,2.2974,
1201,味全         ,202212,-13.0897,
1201,味全         ,202312,1.214,
1201,味全         ,202412,-4.7836,
1203,味王         ,201612,5.024,
1203,味王         ,201712,13.1919,
1203,味王         ,201812,8.1069,
1203,味王         ,201912,7.6838,
1203,味王         ,202012,33.3471,
1203,味王         ,202112,-8.4137,
1203,味王         ,202212,10.3255,
1203,味王         ,202312,51.5308,
1203,味王         ,202412,-33.1857,
1210,大成         ,201612,36.5827,
1210,大成         ,201712,19.0083,
1210,大成         ,201812,11.545,
1210,大成         ,201912,35.1387,
1210,大成         ,202012,19.7963,
1210,大成         ,202112,12.7049,
1210,大成         ,202212,-8.3447,
1210,大成         ,202312,27.8654,
1210,大成         ,202412,-8.7974,
1213,大飲         ,201612,19.8688,
1213,大飲         ,201712,-7.4105,
1213,大飲         ,201812,-43.9692,
1213,大飲         ,201912,-47.3393,
1213,大飲         ,202012,21.0926,
1213,大飲         ,202112,8.5505,
1213,大飲         ,202212,-16.6299,
1213,大飲         ,202312,-2.9896,
1213,大飲         ,202412,80.6429,
1215,卜蜂         ,201612,71.8729,
1215,卜蜂         ,201712,39.9059,
1215,卜蜂         ,201812,-13.7935,
1215,卜蜂         ,201912,26.2486,
1215,卜蜂         ,202012,14.7269,
1215,卜蜂         ,202112,16.0714,
1215,卜蜂         ,202212,10.4,
1215,卜蜂         ,202312,24.0104,
1215,卜蜂         ,202412,-1.0957,
1216,統一         ,201612,0.33,
1216,統一         ,201712,24.7717,
1216,統一         ,201812,12.777,
1216,統一         ,201912,9.304,
1216,統一         ,202012,-5.9302,
1216,統一         ,202112,5.5562,
1216,統一         ,202212,1.1052,
1216,統一         ,202312,15.5445,
1216,統一         ,202412,11.9272,
1217,愛之味       ,201612,-17.5928,
1217,愛之味       ,201712,0.9389,
1217,愛之味       ,201812,-8.9324,
1217,愛之味       ,201912,3.7253,
1217,愛之味       ,202012,33.7077,
1217,愛之味       ,202112,8.5582,
1217,愛之味       ,202212,1.4933,
1217,愛之味       ,202312,15.3308,
1217,愛之味       ,202412,-1.0086,
1218,泰山         ,201612,21.2303,
1218,泰山         ,201712,15.0445,
1218,泰山         ,201812,13.91,
1218,泰山         ,201912,18.7755,
1218,泰山         ,202012,25.8754,
1218,泰山         ,202112,3.8994,
1218,泰山         ,202212,20.9222,
1218,泰山         ,202312,-34.8826,
1218,泰山         ,202412,-13.0356,
1219,福壽         ,201612,9.8086,
1219,福壽         ,201712,14.2185,
1219,福壽         ,201812,4.3707,
1219,福壽         ,201912,1.6303,
1219,福壽         ,202012,17.5691,
1219,福壽         ,202112,-1.7656,
1219,福壽         ,202212,-2.4686,
1219,福壽         ,202312,8.1817,
1219,福壽         ,202412,-18.2867,
1220,台榮         ,201612,5.7722,
1220,台榮         ,201712,1.3952,
1220,台榮         ,201812,7.9745,
1220,台榮         ,201912,0.9075,
1220,台榮         ,202012,23.1157,
1220,台榮         ,202112,28.2875,
1220,台榮         ,202212,3.9396,
