公司代碼,簡稱,TSE 產業別,TESG評等季度,環境構面分數,社會構面分數,公司治理構面分數,TESG分數,TESG等級
1101,台泥         ,01,201612,76.43,74.38,56.89,63.63,A     
1102,亞泥         ,01,201612,50.04,70.08,57.09,57.59,B+    
1103,嘉泥         ,01,201612,60.11,61.7,45.9,55.39,B     
1104,環泥         ,01,201612,70.11,65.81,53.16,62.93,A     
1108,幸福         ,01,201612,52.56,43.98,65.16,54.95,B     
1109,信大         ,01,201612,49.53,35.91,66.47,52.22,B     
1110,東泥         ,01,201612,59.45,37.19,54.17,51.98,B-    
1201,味全         ,02,201612,58.67,70.91,67.29,66.03,A     
1203,味王         ,02,201612,61.86,58.71,62.11,60.71,B+    
1210,大成         ,02,201612,67.25,68.28,43.58,60.55,B+    
1213,大飲         ,02,201612,48.93,49.35,67.72,54.73,B     
1215,卜蜂         ,02,201612,65.81,62.24,52.41,60.4,B+    
1216,統一         ,02,201612,78.06,85.22,56.51,74.39,A+    
1217,愛之味       ,02,201612,59.71,65.6,38.41,55.62,B     
1218,泰山         ,02,201612,63.66,50.99,48.75,54.25,B     
1219,福壽         ,02,201612,68.32,75.26,56.08,67.36,A+    
1220,台榮         ,02,201612,42.47,44.91,56.94,47.76,C     
1225,福懋油       ,02,201612,71.2,69.01,37.11,60.12,B+    
1227,佳格         ,02,201612,68.68,66.9,46.6,61.36,B+    
1229,聯華         ,02,201612,64.73,73.79,50.04,63.86,A     
1231,聯華食       ,02,201612,57.91,53.32,51.34,54.15,B     
1232,大統益       ,02,201612,57.95,72.33,64.48,65.52,A     
1233,天仁         ,02,201612,63.66,61.34,61.04,61.97,A     
1234,黑松         ,02,201612,67.07,77.46,36.25,61.88,A     
1235,興泰         ,02,201612,58.99,47.37,37.98,48.15,C     
1236,宏亞         ,02,201612,70.88,55.52,59.96,61.61,A     
1256,鮮活果汁-KY  ,02,201612,63.3,43.79,59.1,54.43,B     
1301,台塑         ,03,201612,46.16,57.81,53.33,52.52,B     
1303,南亞         ,03,201612,58.4,59.47,57.22,58.25,B+    
1304,台聚         ,03,201612,66.68,74.42,59.7,66.21,A     
1305,華夏         ,03,201612,45.09,75.13,55.04,58.08,B+    
1307,三芳         ,03,201612,69.2,56.95,45.11,54.66,B     
1308,亞聚         ,03,201612,43.67,66.1,56.75,55.63,B     
1309,台達化       ,03,201612,52.67,56.75,56.25,55.32,B     
1310,台苯         ,03,201612,67.14,66,45.22,58.03,B+    
1312,國喬         ,03,201612,45.05,67.83,52.75,54.96,B     
1313,聯成         ,03,201612,80.93,64.33,38.15,58.84,B+    
1314,中石化       ,03,201612,54.18,60.24,52.95,55.5,B     
1315,達新         ,03,201612,47.7,58.86,44.39,51.09,B-    
1316,上曜         ,14,201612,50.49,61.42,38.85,48.77,B-    
1319,東陽         ,12,201612,65.84,77.02,53.52,64.28,A     
1321,大洋         ,03,201612,54.75,56.05,45.53,51.45,B-    
1323,永裕         ,03,201612,65.11,65.64,57.1,62.06,A     
1324,地球         ,03,201612,60.09,63.35,70.76,65.34,A     
1325,恒大         ,03,201612,47.7,51.65,44.03,47.93,C     
1326,台化         ,03,201612,54.91,60.08,56.13,56.95,B+    
1337,再生-KY      ,03,201612,54.75,46.52,56.59,53.02,B     
1338,廣華-KY      ,12,201612,71.29,47,47.74,55.06,B     
1339,昭輝         ,12,201612,45.6,49.08,35.01,42.48,C-    
1340,勝悅-KY      ,03,201612,47.7,50.82,51.57,50.52,B-    
1402,遠東新       ,04,201612,69.54,83.66,53.78,69.32,A+    
1409,新纖         ,04,201612,78.14,56.38,37.63,53.2,B     
1410,南染         ,04,201612,47.7,38.86,51.81,45.59,C     
1413,宏洲         ,04,201612,56.14,38.94,39.48,42.42,C-    
1414,東和         ,04,201612,47.7,47.7,42.42,45.64,C     
1416,廣豐         ,20,201612,47.7,53.35,46.36,49.55,B-    
1417,嘉裕         ,04,201612,47.7,38.2,58.09,47.76,C     
1418,東華         ,04,201612,47.7,37.95,46.78,43.25,C-    
1419,新紡         ,04,201612,47.7,52.02,50.49,50.61,B-    
1423,利華         ,04,201612,47.7,40.02,49.17,45.05,C     
1432,大魯閣       ,37,201612,47.7,62.87,54.44,56.7,B+    
1434,福懋         ,04,201612,70.3,65.34,56.89,62.98,A     
1435,中福         ,20,201612,49.66,38.86,44.5,44.2,C     
1436,華友聯       ,14,201612,49.66,46.03,50.84,49.08,B-    
1437,勤益控       ,20,201612,49.66,37.79,51.69,46.97,C     
1438,三地開發     ,14,201612,41.25,38.62,40.31,40.06,C-    
1439,雋揚         ,14,201612,47.7,50.29,44.69,47.61,C     
1440,南紡         ,04,201612,79.33,44.58,48.34,52.65,B     
1441,大東         ,04,201612,47.7,45.73,46.9,46.56,C     
1442,名軒         ,14,201612,59.42,61.71,58.88,59.88,B+    
1443,立益物流     ,20,201612,47.7,39.4,46.18,43.62,C-    
1444,力麗         ,04,201612,62.59,56.89,39.72,51.28,B-    
1445,大宇         ,04,201612,61.84,54.8,41.64,51,B-    
1446,宏和         ,04,201612,47.7,48.38,46.96,47.7,C     
1447,力鵬         ,04,201612,59.58,60.46,39.48,52.11,B-    
1449,佳和         ,04,201612,47.7,37.37,40.44,40.53,C-    
1451,年興         ,04,201612,47.7,41.01,53.84,47.29,C     
1452,宏益         ,04,201612,47.7,58.11,61.43,57.43,B+    
1453,大將         ,14,201612,49.66,37.56,57,49.18,B-    
1454,台富         ,04,201612,47.7,43.17,41.52,43.39,C-    
1455,集盛         ,04,201612,48.79,52.69,42.59,48.01,C     
1456,怡華         ,14,201612,49.66,37.44,48.27,45.39,C     
1457,宜進         ,04,201612,39.9,59.93,57.07,55.01,B     
1459,聯發         ,04,201612,47.7,55.42,44.87,49.84,B-    
1460,宏遠         ,04,201612,74.55,69.41,54.86,64.71,A     
1463,強盛新       ,04,201612,65.76,56.65,49.53,55.6,B     
1464,得力         ,04,201612,52.36,41.8,53.96,48.55,B-    
1465,偉全         ,04,201612,47.7,47.43,56.59,51.05,B-    
1466,聚隆         ,04,201612,47.7,73.14,41.76,56.07,B     
1467,南緯         ,04,201612,86.8,51.91,45.35,55.98,B     
1468,昶和         ,04,201612,52.36,52.69,53.18,52.82,B     
1470,大統新創     ,04,201612,50.63,64.93,64.96,62.22,A     
1471,首利         ,28,201612,43.23,41.78,40.95,41.89,C-    
1472,三洋實業     ,14,201612,47.7,51.98,40.2,46.58,C     
1473,台南         ,04,201612,41.11,39.61,41.4,40.59,C-    
1474,弘裕         ,04,201612,44.91,59.56,46.54,51.7,B-    
1475,業旺         ,04,201612,47.7,43.37,56.71,49.4,B-    
1476,儒鴻         ,04,201612,67.67,44.91,63.41,56.45,B     
1477,聚陽         ,04,201612,65.26,44.18,63.83,55.85,B     
1503,士電         ,05,201612,68.26,68.76,47.78,60.22,B+    
1504,東元         ,05,201612,56.69,63.62,54.42,57.86,B+    
1506,正道         ,05,201612,54.97,50.36,58.15,54.88,B     
1512,瑞利         ,12,201612,70.45,53.32,45.42,55.72,B     
1513,中興電       ,05,201612,56.79,50.77,52.46,53.12,B     
1514,亞力         ,05,201612,54.75,66.37,54.93,58.31,B+    
1515,力山         ,05,201612,52.36,62.48,45.47,53.92,B     
1516,川飛         ,20,201612,37.86,44.87,55.48,45.95,C     
1517,利奇         ,05,201612,47.7,47.76,50.97,49,B-    
1519,華城         ,05,201612,67.31,75.54,72.35,71.8,A+    
1521,大億         ,12,201612,54.97,69.03,48.43,56.5,B+    
1522,堤維西       ,12,201612,73.06,60.39,64.4,66.01,A     
1524,耿鼎         ,12,201612,54.97,39.31,39.87,44.54,C     
1525,江申         ,12,201612,62.84,60.94,60.7,61.45,B+    
1526,日馳         ,05,201612,47.7,61.96,51.09,55.01,B     
1527,鑽全         ,05,201612,52.36,68.9,54.02,59.95,B+    
1528,恩德         ,05,201612,47.7,53.56,31.59,43.88,C-    
1529,樂事綠能     ,05,201612,54.75,46.36,44.87,48.28,C     
1530,亞崴         ,05,201612,54.75,48.24,49.03,50.51,B-    
1531,高林股       ,05,201612,57.96,52.37,54.15,54.76,B     
1532,勤美         ,05,201612,66.86,74.69,47.32,61.39,B+    
1533,車王電       ,12,201612,74.01,73.66,57.58,67.5,A+    
1535,中宇         ,05,201612,59.89,75.69,44.45,58.45,B+    
1536,和大         ,12,201612,70.36,69.2,47.51,61.11,B+    
1537,廣隆         ,05,201612,47.88,53.72,51.87,51.62,B-    
1538,正峰         ,05,201612,47.7,60.88,45.94,52.55,B     
1539,巨庭         ,05,201612,47.7,57.12,62.69,57.5,B+    
1540,喬福         ,05,201612,47.7,63.68,44.75,53.26,B     
1541,錩泰         ,05,201612,47.7,62.98,54.2,56.65,B+    
1558,伸興         ,05,201612,70.01,69.85,48.22,61.44,B+    
1560,中砂         ,05,201612,53.13,52.93,52.26,52.72,B     
1563,巧新         ,12,201612,45.6,45.71,51.44,47.91,C     
1568,倉佑         ,12,201612,54.97,48.84,57.46,54.16,B     
1582,信錦         ,28,201612,72.08,53.16,69.49,63.91,A     
1583,程泰         ,05,201612,50.95,56.25,51.74,52.86,B     
1587,吉茂         ,12,201612,45.6,45.71,41.49,44.03,C     
1589,永冠-KY      ,05,201612,43.23,40.44,40.88,41.45,C-    
1590,亞德客-KY    ,05,201612,56.04,35.93,64.28,53.3,B     
1597,直得         ,05,201612,54.75,54.16,70.41,60.84,B+    
1598,岱宇         ,37,201612,67.24,68.25,63.05,66.03,A     
1603,華電         ,06,201612,43.23,39.15,48.06,43.94,C     
1604,聲寶         ,06,201612,47.7,63.33,56.47,57.68,B+    
1605,華新         ,06,201612,64.37,58.37,55.35,58.96,B+    
1608,華榮         ,06,201612,72.02,48.43,42.27,53.04,B     
1609,大亞         ,06,201612,69.63,65.76,55.74,62.91,A     
1611,中電         ,06,201612,53.13,54.05,38.64,47.97,C     
1612,宏泰         ,06,201612,54.75,57.59,61.06,58.12,B+    
1614,三洋電       ,06,201612,52.36,38.65,39.84,41.72,C-    
1615,大山         ,06,201612,49.37,52.39,52.99,51.72,B-    
1616,億泰         ,06,201612,54.75,54.99,54.77,54.83,B     
1617,榮星         ,06,201612,54.75,52.37,40.33,48.27,C     
1618,合機         ,06,201612,43.23,56.24,49.96,49.82,B-    
1626,艾美特-KY    ,06,201612,47.7,60.7,46.12,52.55,B     
1702,南僑         ,02,201612,46.78,63.54,50.91,54.55,B     
1707,葡萄王       ,22,201612,63.92,74.78,51.38,66.04,A     
1708,東鹼         ,21,201612,53.02,49.76,63.19,56.11,B     
1709,和益         ,21,201612,57.02,65.93,56.4,59.45,B+    
1710,東聯         ,21,201612,50.05,58.31,57.99,55.7,B     
1711,永光         ,21,201612,68.43,81.45,73.75,74.46,A+    
1712,興農         ,21,201612,55.47,61.63,39.25,50.83,B-    
1713,國化         ,21,201612,43.63,48.64,39.79,43.59,C-    
1714,和桐         ,21,201612,69.83,64.66,50.93,60.72,B+    
1717,長興         ,21,201612,77.85,69.04,57.84,67.2,A+    
1718,中纖         ,21,201612,46.95,73.09,36.4,50.57,B-    
1720,生達         ,22,201612,71.02,68.14,56.28,65.22,A     
1721,三晃         ,21,201612,68.61,48.28,58.96,58.65,B+    
1722,台肥         ,21,201612,43.01,71.18,76.62,64.91,A     
1723,中碳         ,21,201612,68.35,72.53,54.96,64.25,A     
1725,元禎         ,21,201612,59.75,41.49,49.91,50.34,B-    
1726,永記         ,21,201612,57.83,57.3,52.29,55.45,B     
1727,中華化       ,21,201612,63.75,57.61,45.46,54.59,B     
1730,花仙子       ,21,201612,66.7,72.91,73.99,72.15,A+    
1731,美吾華       ,22,201612,64.75,58.73,54.82,58.68,B+    
1732,毛寶         ,21,201612,68.31,44.4,58.86,54.59,B     
